,observation_1,observation_2,hypothesis_1,hypothesis_2,label
4402,Jessica broke her phone by dropping it down a flight of stairs.,"When her phone arrived the next day, Jessica jumped for joy.",Jessica ordered a new radio.,Jessica ordered a new phone.,2
4403,My friend brought this large bag of chips.,My friend took the bag away from me.,I took some chips while he wasn't looking.,I took a drink while he wasn't looking.,1
4404,Martha was the new art director at the local high school.,Martha won an award from her town for being best teacher of the year.,Martha was a very bad teacher.,Martha was a very good teacher.,2
4405,The lead actress refused to show up.,The director was hailed as a genius.,"The actress was told that they needed her badly"".",The actress was told you show up or you are fired.,2
4406,Jenny was starting Kindergarten today.,"Eventually she opened up, and made lots of friends on her first day.",she was nervous and didn't want to go.,She was excited and wanted to go.,1
4407,Alexis found out he was pregnant and started to cry.,As Alexis looked down at the beautiful face of her daughter she cried.,Alexis found out it was worth it when she aborted it.,Alexis found out it was worth it when her daughter was born.,2
4408,Tom likes to ski.,Tom finally gets his chance to ski!,Tom did not take vacation.,Tom took a vacation.,2
4409,I had a dog.,Then I invited the neighbor over to have a dog play-date.,I found out my dog had a neighbor too.,I found out my neighbor had a dog too.,2
4410,Sara had never made a pie before.,"To her delight, her pie was delicious!",Sarah decide to give it a try.,Sarah decided to give making a cake a try.,1
4411,I went to Camp as a child.,"I was so freaked out, I called my mom to come get me.",I liked getting away from my friends and family.,I missed my friends and family.,2
4412,David was excited when his parents bought him a chemistry set.,"They let him keep it, but insisted on supervising him from then on.",David made a large explosion with his new set.,David made a small explosion with his new set.,2
4413,Scott was scared of shots.,"When he got to the doctor, he barely felt the needle.",He decided he was going to be cowardly today.,He decided he was going to be brave today.,2
4414,I was going to my first concert last weekend.,Inside the concert I took photos anyway.,There was a sign posted stating no photos.,There was no sign posted stating take photos.,1
4415,Two children were having a philosophical argument about Jack Frost,But after ten minutes they agreed to disagree.,The argument seemed like it would end instantly.,The argument seemed like it could go on forever.,2
4416,Sally decided to get a haircut.,She waited for months for her hair to grow back out.,Sally got a haircut and loved it.,Sally got a haircut and hated it.,2
4417,My girlfriend make chicken and broccoli casserole for dinner.,We just put it back in the oven to ensure we do not get sick.,It was still cold in the middle.,The food was cooked perfectly.,1
4418,Andrea and Kylie were in class.,Andrea was mortified.,Kylie brushed Andrea's hair.,Kylie farted really loud.,2
4419,Last week Shawn was really nervous about going to class.,Then Shawn woke up and realized that it was all just a dream!,Shawn flunked all his classes that night.,Shawn dreamt that night he flunked all his classes.,2
4420,Steven loves the ocean.,A fishermen saved him and took him to shore.,One day Steven was swept out to sea while swimming.,One day a fishermen was swept out to sea while swimming.,1
4421,My mom grew up with horses.,Now we have two horses at our house we do not ride.,She bought two horses at an auction.,She couldn't afford to buy the horse at the auction.,1
4422,Going to the bookstore was a spur of the moment decision.,I enjoyed the trip.,I found some great books there.,I didn't find any great books there.,1
4423,Fin went to the acupuncturist for a session.,Fin won and the business's insurance company paid him off.,Fin was feeling great and thanked the acupuncturist.,Fin was hurt and sued the acupunturist.,2
4424,The Lamb family were vacationing in the country of Guatemala.,The family enjoyed visiting the Guatemalan village.,The lambs saw many unpleasant things there.,The lambs saw many interesting sights there.,2
4425,Fred looks forward to peach season every summer.,"Fred still loves peaches, but just not as much.",The peach harvest this year was not as good.,the peach harvest was abundant.,1
4426,A man tried many methods to improve his college exam scores.,He noticed he performed better on tests due to this.,He started to wear blindfolds while taking his tests.,He started to chew gum while taking his tests.,2
4427,Tim cancels his Comcast cable.,They don't stop until he hires a lawyer.,Verizon continues to bill Tim even though he cancelled.,Comcast continues to bill Tim even though he cancelled.,2
4428,Henry was playing with a toy telephone.,He managed to hide from her.,Henry saw his mom walking towards the room.,Henry's mom saw him walking towards the room.,1
4429,Sam was reading the book out loud in class.,The nurse rubbed alcohol and placed a band-aid around it.,Sam got a paper cut.,Sam fell and hit their head.,1
4430,Larry had an important job interview.,Larry aced his job interview the next day.,Larry hadn't prepared any information needed for the interview.,Larry prepared all the information needed for the interview.,2
4431,Jane was grocery shopping.,She wound up forgetting half the things.,Jane did not need much.,Jane did not take a list.,2
4432,I watched my snake try to eat a fish.,Grabbed the sucker and devoured him.,"The fish managed to escape the first bite, but the snake.",The fish managed to escape and left.,1
4433,"Kate loved helping people, and she wanted to travel.",Kate got to see foreign places - and do wonderful things for humanity!,Kate denied Doctors Without Borders.,Kate joined Doctors Without Borders.,2
4434,Gary drove to the orthodontist for his appointment.,"After the operation, Gary had his braces installed.",Gary was nervous when they put him to sleep.,Gary decided his teeth were fine as they were and instead decided to go to the gym.,1
4435,Martin and his older brother Jim went to the amusement park.,Martin enjoyed the ride so much he rode it 10 times that day.,Martin rode the twirl-a-whirl.,Only Jim rode the twirl-a-whirl.,1
4436,Claire was eating a banana nut muffin.,She never eats banana nut muffins now.,She soon felt fine in her stomach.,She soon got sick to her stomach.,2
4437,I wanted to learn a blue collar trade.,I had to drop out of the apprenticeship.,I got an apprenticeship but was not improving.,I got an apprenticeship and became an expert.,1
4438,The home football team was down a touchdown.,"The hail mary pass was caught, and the home team won.",The home team's quarterback through an incomplete pass.,The home team's quarterback through a desperate hail mary pass.,2
4439,Josh draws caricatures as a side job.,"As such, he will probably continue doing it for a while.",Josh doesn't really have any other marketable skills.,Any other marketable skills doesn't really have Josh.,1
4440,Avery watched movies almost every day.,The movie gained popularity and Avery became a professional writer.,One day she decided to write a story for a movie but it got declined.,one day she decided to write a story for a movie and it got selected.,2
4441,Jen was a 7 year old little girl who always wanted a pet.,She rushes over to hug her new puppy that she names Spot.,Jen's parents bought her a decomposing puppy.,Jen's parents bought her a new puppy.,2
4442,Nancy was driving to her job.,The engine shut down and she remained in the middle of the road.,Nancy was ignoring car issues.,Nancy had fixed her car issues.,1
